путь,категории_ПДн,количество_находок,УЗ,формат_файла
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\%D0%9F336-%D0%9E%D0%94_05.12.2022_%20%D0%A1%D1%82%D0%B0%D0%BD%D0%B4%D0%B0%D1%80%D1%82%20%D0%AE%D0%A4%D0%A3_10.05.04.pdf,"обычные:4, специальные:1",5,УЗ-1,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\Реестровая выписка_29.05.29025.pdf,"обычные:2, государственные:2",4,УЗ-2,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\17411731596747.pdf,нет,0,нет ПДн,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\Spisok_indiv_dostig.pdf,"обычные:5, специальные:1",6,УЗ-1,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\Nanoscale_substance_structure.pdf,нет,0,нет ПДн,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Документы партнеров\ok_history_new.pdf,"обычные:5, биометрические:1, специальные:1",7,УЗ-1,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\Доки\mcs2025-rare-earths.pdf,обычные:1,1,УЗ-4,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Документы партнеров\VKCT_Soglashenie_ob_informacionnom_vzaimodeistvii.pdf,обычные:6,6,УЗ-3,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\informatika.pdf,"обычные:5, специальные:1",6,УЗ-1,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\Aula_Hispánica_osen_2019_rus.pdf,обычные:7,7,УЗ-3,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\Реестровая выписка л_22.08.25.pdf,"обычные:41, государственные:2, специальные:1",44,УЗ-1,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\sport_podg_ino.pdf,"обычные:1, специальные:1",2,УЗ-1,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\upr_izm.pdf,обычные:4,4,УЗ-4,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\Доки\contract.pdf,нет,0,нет ПДн,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\pfhd_2023_02.pdf,"обычные:6, государственные:1, специальные:1",8,УЗ-1,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\49.04.03.pdf,"обычные:4, специальные:1",5,УЗ-1,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\Лицей ЮФУ_ПОЛОЖЕНИЕ о ВД.pdf,"обычные:5, специальные:1",6,УЗ-1,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\43.04.01_programm_mag_2025.pdf,"обычные:5, специальные:1",6,УЗ-1,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\Molecular_spectrostroscopy.pdf,обычные:1,1,УЗ-4,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\page_77.html,"обычные:11, государственные:1, специальные:1",13,УЗ-1,html
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Документы партнеров\VK_Soglashenie_ob_informacionnom_vzaimodeistvii.pdf,обычные:6,6,УЗ-3,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\ped_nach.pdf,"обычные:5, специальные:1",6,УЗ-1,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F_%D0%93%D0%BE%D1%81%D1%83%D1%81%D0%BB%D1%83%D0%B3%D0%B8.pdf,нет,0,нет ПДн,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\ar_1.pdf,"обычные:6, специальные:1",7,УЗ-1,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\Protokol_prez_N2.pdf,"обычные:6, специальные:1",7,УЗ-1,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\5.7.1.pdf,"обычные:5, специальные:1",6,УЗ-1,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\obrab_inf.pdf,"обычные:4, специальные:1",5,УЗ-1,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\П47-ОД_10.03.2023.pdf,"обычные:6, биометрические:1",7,УЗ-1,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\216e9fc932f0a2027c207d9b1bb2e0cd.pdf,"обычные:8, специальные:1",9,УЗ-1,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\page_292.html,"обычные:11, государственные:1, специальные:1",13,УЗ-1,html
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\page_462.html,"обычные:28, государственные:2, специальные:1",31,УЗ-1,html
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\Ранжированные списки (по итогам апелляций).pdf,обычные:5,5,УЗ-3,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\LLM_brochure_2025.pdf,обычные:1,1,УЗ-4,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\Координаты для связи с профильными структурными подразделениями_3.pdf,"обычные:56, государственные:1, специальные:1",58,УЗ-1,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\5.5.2.pdf,"обычные:5, биометрические:1, специальные:1",7,УЗ-1,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\BBA_Brochure_2025.pdf,обычные:1,1,УЗ-4,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\Course%20syllabus_Methodology%20of%20Social%20Sciences%20and%20Humanities_2022.pdf,обычные:1,1,УЗ-4,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\Aula%20Hispanica_plano_rus_2016-po-mayo.pdf,обычные:5,5,УЗ-3,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\12.04.01_r.pdf,специальные:1,1,УЗ-2,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\price-2025.pdf,обычные:4,4,УЗ-4,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\Pravila_priema_bac_spec_2025.pdf,"обычные:5, биометрические:1, специальные:1",7,УЗ-1,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\page_135.html,"обычные:11, государственные:1, специальные:1",13,УЗ-1,html
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\report_07112022.pdf,"обычные:6, биометрические:1, специальные:1",8,УЗ-1,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\page_232.html,"обычные:10, государственные:1, специальные:1",12,УЗ-1,html
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\16122024_DSU_Pulse.pdf,нет,0,нет ПДн,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\%D0%9F1620_%D0%9F%D0%BB%D0%B0%D0%BD%20%D0%92%D0%A0%20%D0%BD%D0%B0%202021-2022%20%D1%83%D1%87.%D0%B3%D0%BE%D0%B4.pdf,"обычные:5, специальные:1",6,УЗ-1,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\319471_original.jpg,нет,0,нет ПДн,jpg
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\1929784_300.jpg,нет,0,нет ПДн,jpg
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\322568_1000.png,нет,0,нет ПДн,png
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\2445_2000.jpg,нет,0,нет ПДн,jpg
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\370572_original.jpg,нет,0,нет ПДн,jpg
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\P982.pdf,"обычные:5, специальные:1",6,УЗ-1,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\365529_original.jpg,нет,0,нет ПДн,jpg
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\page_181.html,обычные:1,1,УЗ-4,html
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\10286_900.jpg,нет,0,нет ПДн,jpg
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\page_80.html,обычные:1,1,УЗ-4,html
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\125201_800.jpg,нет,0,нет ПДн,jpg
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\351507_original.jpg,нет,0,нет ПДн,jpg
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\357497_original.jpg,нет,0,нет ПДн,jpg
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\П71-ОД_37.04.01 Психология.pdf,"обычные:5, специальные:1",6,УЗ-1,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\page_455.html,"обычные:33, государственные:14, специальные:1",48,УЗ-1,html
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\page_188.html,"обычные:12, государственные:1, специальные:1",14,УЗ-1,html
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\Р688.pdf,"обычные:10, государственные:1, платёжные:1, специальные:1",13,УЗ-1,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\4264_2000.jpg,нет,0,нет ПДн,jpg
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\f45d0cbb6926630b546921aaf2a15d73.jpg,нет,0,нет ПДн,jpg
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\40971_800.png,нет,0,нет ПДн,png
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\2394_original.png,нет,0,нет ПДн,png
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\2753362_600.png,нет,0,нет ПДн,png
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\1067302_800.jpg,нет,0,нет ПДн,jpg
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\48212_800.jpg,нет,0,нет ПДн,jpg
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\6b588aa921ec0008657cb728cfce508d.pdf,"обычные:8, специальные:1",9,УЗ-1,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\google_terms_of_service_nl_eu.pdf,обычные:2,2,УЗ-4,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\16444_900.jpg,нет,0,нет ПДн,jpg
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\4165481_600.jpg,нет,0,нет ПДн,jpg
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\2024%20Y%C4%B1l%C4%B1%20%C4%B0dare%20Faaliyet%20Raporu.pdf,биометрические:1,1,УЗ-2,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\360325_original.jpg,нет,0,нет ПДн,jpg
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\18425_original.png,нет,0,нет ПДн,png
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\page_258.html,нет,0,нет ПДн,html
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\14441985_original.jpg,нет,0,нет ПДн,jpg
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\2749688_600.jpg,нет,0,нет ПДн,jpg
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\6818_900.jpg,нет,0,нет ПДн,jpg
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\e341c346955f24a09fba0a84d37a870a.pdf,"обычные:8, специальные:1",9,УЗ-1,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\I-cI-hyWOi0.png,нет,0,нет ПДн,png
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\14442719_original.jpg,нет,0,нет ПДн,jpg
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\Course%20syllabus_Semiotic%20Studies%20in%20Russia%20and%20Development%20of%20the%20Humanities%20in%20Europe_2022.pdf,обычные:1,1,УЗ-4,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\351987_original.jpg,нет,0,нет ПДн,jpg
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\izveshenie_014.pdf,обычные:5,5,УЗ-3,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\page_103.html,"обычные:11, государственные:1, специальные:1",13,УЗ-1,html
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\354324_original.jpg,нет,0,нет ПДн,jpg
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\page_388.html,"обычные:11, государственные:1, специальные:1",13,УЗ-1,html
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\4164499_800.jpg,нет,0,нет ПДн,jpg
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\1316928_800.jpg,нет,0,нет ПДн,jpg
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\page_450.html,"обычные:10, государственные:3, специальные:1",14,УЗ-1,html
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\Sports_Facilities.pdf,нет,0,нет ПДн,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\Prof.communication.pdf,обычные:1,1,УЗ-4,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\13519_900.jpg,нет,0,нет ПДн,jpg
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\5851_900.jpg,нет,0,нет ПДн,jpg
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\page_84.html,"обычные:11, государственные:1, специальные:1",13,УЗ-1,html
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\дочерние предприятия\Billing\psxattrs.csv,нет,0,нет ПДн,csv
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\page_416.html,"обычные:30, государственные:3, специальные:1",34,УЗ-1,html
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\95607229-14438121-image-a-11_1740578461417.jpg,нет,0,нет ПДн,jpg
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\46624_800.jpg,нет,0,нет ПДн,jpg
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\Varvara_Turkestanova.jpg,нет,0,нет ПДн,jpg
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\rasp504_20130930.pdf,"обычные:8, специальные:1",9,УЗ-1,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\page_481.html,"обычные:10, государственные:1, специальные:1",12,УЗ-1,html
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\П282-ОД_01.11.2024.pdf,нет,0,нет ПДн,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\2025-2.pdf,"обычные:7, государственные:1, биометрические:1, специальные:1",10,УЗ-1,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\MSC_DS_2025.pdf,обычные:1,1,УЗ-4,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\page_441.html,"обычные:11, государственные:1, специальные:1",13,УЗ-1,html
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\44.04.02.pdf,"обычные:1, специальные:1",2,УЗ-1,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\Inform-pismoSTO2016.doc,нет,0,нет ПДн,doc
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\38.04.02.pdf,обычные:5,5,УЗ-3,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\zhiv.pdf,обычные:5,5,УЗ-3,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\mc201109.pdf,обычные:21,21,УЗ-3,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\Анкета.docx,обычные:2,2,УЗ-4,docx
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\%D0%B7%D0%B0%D1%8F%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5.docx,обычные:5,5,УЗ-3,docx
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\page_469.html,"обычные:30, государственные:1, специальные:1",32,УЗ-1,html
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\5-2-progDN.doc,обычные:4,4,УЗ-4,doc
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\APS.docx,обычные:2,2,УЗ-4,docx
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\Congreso_Anexos_rus_2025.docx,обычные:2,2,УЗ-4,docx
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\2018_06_proto_rating.pdf,нет,0,нет ПДн,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\p1312_07.06.2024.pdf,нет,0,нет ПДн,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\040302_B_3_08082017.pdf,нет,0,нет ПДн,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\Prikaz-200.pdf,нет,0,нет ПДн,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\p348-od-2014.pdf,нет,0,нет ПДн,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\020402_M_11012018.pdf,нет,0,нет ПДн,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\П277-ОД_01.11.2024.pdf,нет,0,нет ПДн,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\П1115_16.05.2025.pdf,нет,0,нет ПДн,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\Svidetelstvo_2018_pril1.pdf,нет,0,нет ПДн,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\prikaz_33n_ot_29.08.2018.pdf,нет,0,нет ПДн,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\Fundamentals%20of%20Tourism.pdf,обычные:1,1,УЗ-4,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\JMS_OTHA_Call_for_papers.pdf,нет,0,нет ПДн,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\D212-208-10_01-04-03_TimoshenkoPE_Paper.pdf,нет,0,нет ПДн,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\osn_zh.pdf,нет,0,нет ПДн,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\Rasporiagenie-1266-p.pdf,нет,0,нет ПДн,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\Свидетельство 44.03.02.pdf,нет,0,нет ПДн,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\Prikaz-1801.pdf,нет,0,нет ПДн,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\%D0%9F163-%D0%9E%D0%94_08.04.2025.pdf,нет,0,нет ПДн,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\wipo-dstu_seminar-info.pdf,нет,0,нет ПДн,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\%D0%9F186-%D0%9E%D0%94%2009.04.01.pdf,нет,0,нет ПДн,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\5.4.4.pdf,нет,0,нет ПДн,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\ОС_09.03.03 sig.pdf,нет,0,нет ПДн,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\10.05.02 Информационная безопасность телекомм.систем.pdf,нет,0,нет ПДн,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\%D0%9F%D1%80%D0%B8%D0%BA%D0%B0%D0%B7%20%D0%BE%20%D0%B2%D0%BE%D0%B7%D0%BE%D0%B1%D0%BD%D0%BE%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B8%20%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%8B%20%D0%94%D0%A1%20%D0%94%20999.154.03.pdf,нет,0,нет ПДн,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\P1774.pdf,нет,0,нет ПДн,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\soglasie-form.pdf,нет,0,нет ПДн,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\Rasporiagenie-1092-p_publications.xls,нет,0,нет ПДн,xls
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\page_284.html,"обычные:11, государственные:1, специальные:1",13,УЗ-1,html
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\page_363.html,"обычные:11, государственные:3, специальные:1",15,УЗ-1,html
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\2.2.2.pdf,нет,0,нет ПДн,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\Akkr_lyceum_29.05.17_0.pdf,нет,0,нет ПДн,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\Pr671_04.04.2024.pdf,нет,0,нет ПДн,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\Svidetelstvo_2018.pdf,нет,0,нет ПДн,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\ОС_14.03.02.pdf,нет,0,нет ПДн,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\cher.pdf,обычные:1,1,УЗ-4,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\prikaz-2423.pdf,нет,0,нет ПДн,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\pravila_priema2025.pdf,нет,0,нет ПДн,pdf
